id,Cond Corr,Cond Is NVC,Spatial Corr,Spatial Is NVC,Arrange (Verify),Arrange (Is PMM),Arrange (Order),Carddir NVC,CRT,Mental Rot,verbal subst,Corsi,Syl Jaccard,Syl Corr Set,Syl Corr MAE,Syl Is NVC,Wason
participant_1,0.5,0.0,0.40625,0.21875,0.55,0.2,0.25,0.0,0.2857142857142857,9.0,0.25,7.0,0.3333333333333333,0.34375,0.806640625,0.421875,0.3333333333333333
participant_10,0.5,0.25,0.40625,0.0,0.7,0.35,0.5,0.15625,0.5714285714285714,9.0,0.375,7.0,0.13671875,0.17578125,0.62109375,0.09375,0.5
participant_100,0.5,0.0,0.40625,0.0,0.6,0.35,0.4,0.0,0.5714285714285714,0.0,0.0,7.0,0.26953125,0.296875,0.837890625,0.515625,0.5
participant_101,0.375,0.375,0.46875,0.1875,0.7,0.3,0.5,0.09375,0.7142857142857143,3.0,0.5,6.0,0.26041666666666663,0.29166666666666663,0.75390625,0.375,1.0
participant_102,0.5,0.0,0.3125,0.09375,0.8,0.4,0.5,0.0,0.5714285714285714,2.0,0.125,7.0,0.25260416666666663,0.328125,0.802734375,0.09375,0.0
participant_104,0.5,0.0,0.375,0.0625,0.85,0.35,0.6,0.09375,0.42857142857142855,2.0,0.625,6.0,0.18854166666666666,0.20833333333333331,0.740234375,0.21875,0.5
participant_109,0.0,0.125,0.34375,0.125,0.45,0.25,0.45,0.0625,1.0,1.0,0.0,6.0,0.16197916666666667,0.20182291666666666,0.78515625,0.125,0.5
participant_11,0.5,0.0,0.625,0.15625,0.6,0.3,0.35,0.3125,0.2857142857142857,12.0,0.375,8.0,0.26171875,0.34375,0.810546875,0.3125,0.5
participant_111,0.75,0.5,0.40625,0.15625,0.4,0.05,0.05,0.0,0.8571428571428571,5.0,0.75,7.0,0.2786458333333333,0.34895833333333337,0.818359375,0.125,1.0
participant_113,0.5,0.0,0.375,0.03125,0.75,0.4,0.55,0.0,0.8571428571428571,1.0,0.875,10.0,0.36796874999999996,0.39166666666666666,0.734375,0.328125,0.5
participant_12,0.5,0.0,0.78125,0.21875,0.95,0.75,0.9,0.0625,0.7142857142857143,4.0,0.125,7.0,0.4125,0.42578125,0.7734375,0.515625,0.5
participant_13,0.5,0.0,0.46875,0.0625,0.6,0.1,0.25,0.25,0.14285714285714285,3.0,0.0,6.0,0.36197916666666663,0.4153645833333333,0.74609375,0.375,0.5
participant_15,0.5,0.0,0.25,0.1875,0.7,0.35,0.45,0.0,0.14285714285714285,5.0,0.125,7.0,0.2708333333333333,0.34375,0.85546875,0.34375,0.0
participant_16,0.375,0.125,0.59375,0.03125,0.85,0.65,0.8,0.0625,0.2857142857142857,2.0,0.125,8.0,0.6497395833333333,0.7109375,0.919921875,0.71875,0.5
participant_17,0.625,0.125,0.28125,0.25,0.65,0.2,0.3,0.15625,0.14285714285714285,3.0,0.125,8.0,0.20833333333333331,0.25,0.8359375,0.25,0.0
