id,metric,value,syl
participant_1,Cond Corr,0.5,0.34375
participant_1,Cond Is NVC,0.0,0.34375
participant_1,Spatial Corr,0.40625,0.34375
participant_1,Spatial Is NVC,0.21875,0.34375
participant_1,Arrange (Verify),0.55,0.34375
participant_1,Arrange (Is PMM),0.2,0.34375
participant_1,Arrange (Order),0.25,0.34375
participant_1,Carddir NVC,0.0,0.34375
participant_1,CRT,0.2857142857142857,0.34375
participant_1,Mental Rot,9.0,0.34375
participant_1,verbal subst,0.25,0.34375
participant_1,Corsi,7.0,0.34375
participant_1,Syl Jaccard,0.3333333333333333,0.34375
participant_1,Syl Corr Set,0.34375,0.34375
participant_1,Syl Corr MAE,0.806640625,0.34375
participant_1,Syl Is NVC,0.421875,0.34375
participant_1,Wason,0.3333333333333333,0.34375
participant_10,Cond Corr,0.5,0.17578125
participant_10,Cond Is NVC,0.25,0.17578125
participant_10,Spatial Corr,0.40625,0.17578125
participant_10,Spatial Is NVC,0.0,0.17578125
participant_10,Arrange (Verify),0.7,0.17578125
participant_10,Arrange (Is PMM),0.35,0.17578125
participant_10,Arrange (Order),0.5,0.17578125
participant_10,Carddir NVC,0.15625,0.17578125
participant_10,CRT,0.5714285714285714,0.17578125
participant_10,Mental Rot,9.0,0.17578125
participant_10,verbal subst,0.375,0.17578125
participant_10,Corsi,7.0,0.17578125
participant_10,Syl Jaccard,0.13671875,0.17578125
participant_10,Syl Corr Set,0.17578125,0.17578125
participant_10,Syl Corr MAE,0.62109375,0.17578125
participant_10,Syl Is NVC,0.09375,0.17578125
participant_10,Wason,0.5,0.17578125
participant_100,Cond Corr,0.5,0.296875
participant_100,Cond Is NVC,0.0,0.296875
participant_100,Spatial Corr,0.40625,0.296875
participant_100,Spatial Is NVC,0.0,0.296875
participant_100,Arrange (Verify),0.6,0.296875
participant_100,Arrange (Is PMM),0.35,0.296875
participant_100,Arrange (Order),0.4,0.296875
participant_100,Carddir NVC,0.0,0.296875
participant_100,CRT,0.5714285714285714,0.296875
participant_100,Mental Rot,0.0,0.296875
participant_100,verbal subst,0.0,0.296875
participant_100,Corsi,7.0,0.296875
participant_100,Syl Jaccard,0.26953125,0.296875
participant_100,Syl Corr Set,0.296875,0.296875
participant_100,Syl Corr MAE,0.837890625,0.296875
participant_100,Syl Is NVC,0.515625,0.296875
participant_100,Wason,0.5,0.296875
participant_101,Cond Corr,0.375,0.29166666666666663
participant_101,Cond Is NVC,0.375,0.29166666666666663
participant_101,Spatial Corr,0.46875,0.29166666666666663
participant_101,Spatial Is NVC,0.1875,0.29166666666666663
participant_101,Arrange (Verify),0.7,0.29166666666666663
participant_101,Arrange (Is PMM),0.3,0.29166666666666663
participant_101,Arrange (Order),0.5,0.29166666666666663
participant_101,Carddir NVC,0.09375,0.29166666666666663
participant_101,CRT,0.7142857142857143,0.29166666666666663
participant_101,Mental Rot,3.0,0.29166666666666663
participant_101,verbal subst,0.5,0.29166666666666663
participant_101,Corsi,6.0,0.29166666666666663
participant_101,Syl Jaccard,0.26041666666666663,0.29166666666666663
participant_101,Syl Corr Set,0.29166666666666663,0.29166666666666663
participant_101,Syl Corr MAE,0.75390625,0.29166666666666663
participant_101,Syl Is NVC,0.375,0.29166666666666663
participant_101,Wason,1.0,0.29166666666666663
participant_102,Cond Corr,0.5,0.328125
participant_102,Cond Is NVC,0.0,0.328125
participant_102,Spatial Corr,0.3125,0.328125
participant_102,Spatial Is NVC,0.09375,0.328125
participant_102,Arrange (Verify),0.8,0.328125
